(x)		 (y)	 voltage		 frequency	 id
1		1		0.83		1670		12		
1		1		0.87		1750		10		
1		1		0.9		1900		1		
1		1		0.93		1890		4		
1		1		0.98		1910		2		
1		1		1.035		2070		14		
1		1		1.115		2390		48		
1		1		1.12		2350		55		
1		1		1.135		2340		50		
1		1		1.135		2400		31		
1		2		0.755		1530		6		
1		2		0.845		1700		27		
1		2		0.845		1730		13		
1		2		0.98		1860		11		
1		2		0.995		2040		29		
1		2		1.06		2340		42		
1		2		1.075		2320		40		
1		2		1.08		2370		46		
1		2		1.1		2350		32		
1		2		1.1		2390		59		
1		3		0.85		1710		20		
1		3		0.865		1710		15		
1		3		0.87		1710		23		
1		3		0.9		1770		25		
1		3		0.91		1830		7		
1		3		0.94		1860		26		
1		3		1.055		2280		58		
1		3		1.06		2110		19		
1		3		1.07		2290		49		
1		3		1.145		2330		52		
1		4		0.845		1730		9		
1		4		0.89		1720		5		
1		4		0.91		1860		22		
1		4		1.065		2280		57		
1		4		1.07		2280		60		
1		4		1.07		2320		34		
1		4		1.07		2330		43		
1		4		1.075		2340		38		
1		4		1.12		2390		56		
1		4		1.135		2420		33		
1		5		0.91		1880		16		
1		5		0.93		1890		17		
1		5		0.965		1900		18		
1		5		1.0		1940		24		
1		5		1.06		2160		28		
1		5		1.06		2280		35		
1		5		1.09		2280		44		
1		5		1.13		2370		41		
1		5		1.13		2430		53		
1		5		1.155		2410		47		
1		6		0.91		1810		8		
1		6		0.93		1830		3		
1		6		0.945		1930		21		
1		6		1.025		2010		30		
1		6		1.055		2290		36		
1		6		1.095		2360		37		
1		6		1.11		2300		61		
1		6		1.115		2390		54		
1		6		1.14		2460		45		
1		6		1.2		2322		62		
3		2		1.1		2330		51		
